Preview_ID,Category,Preview_File,Preview_Path,Model_File,Model_Path,Base_Object_ID,View_Number,Variant,Korean_Name,English_Name,Material_or_Ship_Type,Period_or_Date,Location,Measurement_Basis,Length_Min_m,Length_Max_m,Width_Min_m,Width_Max_m,Height_Min_m,Height_Max_m,Diameter_m,Rim_Diameter_m,Foot_Diameter_m,Bottom_Diameter_m,Inner_Base_Ring_Diameter_m,Opening_Diameter_m,Foot_Height_Inner_m,Foot_Height_Outer_m,Handle_Height_m,Handle_Diameter_m,Component_Length_m,Component_Width_m,Handle_or_Stem_Width_Min_m,Handle_or_Stem_Width_Max_m,Thickness_Min_m,Thickness_Max_m,Draft_m,Gross_Tonnage_GT,Overall_Length_m,Overall_Width_m,Overall_Height_m,Size_Status,Confidence,Estimation_Method,Source_1,Source_1_URL,Source_Page_or_Record,Source_2,Source_2_URL,Source_Notes,Model_Match_Status,Unit
ceramics_011,Ceramics,mado18-20_2.png,3d modeling/ceramics/preview_images/mado18-20_2.png,mado18-20_2.fbx,3d modeling/ceramics/original_models/mado18-20_2.fbx,mado18-20,2,view/model 2,도기소병,Earthenware Small Bottle,Chinese earthenware bottle,중국 도기 / Chinese earthenware,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.1,0.111,,0.046,0.042,,,,,,,,,,,,0.005,0.0085,,,0.046,0.046,0.111,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.170, record 152",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_012,Ceramics,mado18-20_3.png,3d modeling/ceramics/preview_images/mado18-20_3.png,mado18-20_3.fbx,3d modeling/ceramics/original_models/mado18-20_3.fbx,mado18-20,3,view/model 3,도기소병,Earthenware Small Bottle,Chinese earthenware bottle,중국 도기 / Chinese earthenware,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.1,0.111,,0.046,0.042,,,,,,,,,,,,0.005,0.0085,,,0.046,0.046,0.111,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.170, record 152",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_013,Ceramics,mado18-27_1.png,3d modeling/ceramics/preview_images/mado18-27_1.png,mado18-27_1.fbx,3d modeling/ceramics/original_models/mado18-27_1.fbx,mado18-27,1,view/model 1,청자발,Celadon Bowl,"Celadon bowl, type II-1Aa",고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object,,,,,0.06,0.06,,0.164,0.066,,,,0.0055,0.009,,,,,,,0.004,0.008,,,0.164,0.164,0.06,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.75, record 007",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_014,Ceramics,mado18-27_2.png,3d modeling/ceramics/preview_images/mado18-27_2.png,mado18-27_2.fbx,3d modeling/ceramics/original_models/mado18-27_2.fbx,mado18-27,2,view/model 2,청자발,Celadon Bowl,"Celadon bowl, type II-1Aa",고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object,,,,,0.06,0.06,,0.164,0.066,,,,0.0055,0.009,,,,,,,0.004,0.008,,,0.164,0.164,0.06,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.75, record 007",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_015,Ceramics,mado18-27_3.png,3d modeling/ceramics/preview_images/mado18-27_3.png,mado18-27_3.fbx,3d modeling/ceramics/original_models/mado18-27_3.fbx,mado18-27,3,view/model 3,청자발,Celadon Bowl,"Celadon bowl, type II-1Aa",고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object,,,,,0.06,0.06,,0.164,0.066,,,,0.0055,0.009,,,,,,,0.004,0.008,,,0.164,0.164,0.06,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.75, record 007",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_016,Ceramics,mado18-28_1.png,3d modeling/ceramics/preview_images/mado18-28_1.png,mado18-28_1.fbx,3d modeling/ceramics/original_models/mado18-28_1.fbx,mado18-28,1,view/model 1,암키와편,Shard of Concave Roof Tile,Roof tile fragment,,태안 마도해역 / Waters off Taean–Mado,Remaining fragment measurements,0.219,0.219,0.142,0.142,,,,,,,,,,,,,,,,,0.013,0.015,,,0.219,0.142,0.015,Source-reported remaining dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.177, record 157",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_017,Ceramics,mado18-28_2.png,3d modeling/ceramics/preview_images/mado18-28_2.png,mado18-28_2.fbx,3d modeling/ceramics/original_models/mado18-28_2.fbx,mado18-28,2,view/model 2,암키와편,Shard of Concave Roof Tile,Roof tile fragment,,태안 마도해역 / Waters off Taean–Mado,Remaining fragment measurements,0.219,0.219,0.142,0.142,,,,,,,,,,,,,,,,,0.013,0.015,,,0.219,0.142,0.015,Source-reported remaining dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.177, record 157",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_018,Ceramics,mado18-28_3.png,3d modeling/ceramics/preview_images/mado18-28_3.png,mado18-28_3.fbx,3d modeling/ceramics/original_models/mado18-28_3.fbx,mado18-28,3,view/model 3,암키와편,Shard of Concave Roof Tile,Roof tile fragment,,태안 마도해역 / Waters off Taean–Mado,Remaining fragment measurements,0.219,0.219,0.142,0.142,,,,,,,,,,,,,,,,,0.013,0.015,,,0.219,0.142,0.015,Source-reported remaining dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.177, record 157",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_019,Ceramics,mado18-28_4.png,3d modeling/ceramics/preview_images/mado18-28_4.png,mado18-28_4.fbx,3d modeling/ceramics/original_models/mado18-28_4.fbx,mado18-28,4,view/model 4,암키와편,Shard of Concave Roof Tile,Roof tile fragment,,태안 마도해역 / Waters off Taean–Mado,Remaining fragment measurements,0.219,0.219,0.142,0.142,,,,,,,,,,,,,,,,,0.013,0.015,,,0.219,0.142,0.015,Source-reported remaining dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.177, record 157",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_020,Ceramics,mado18-2_1.png,3d modeling/ceramics/preview_images/mado18-2_1.png,mado18-2_1.fbx,3d modeling/ceramics/original_models/mado18-2_1.fbx,mado18-2,1,view/model 1,도기사이호편,Shard of Four-Handled Jar with Brown Glaze,Chinese brown-glazed earthenware jar fragment,12세기 전반–15세기 추정 / Estimated 12th–15th century,태안 마도해역 / Waters off Taean–Mado,Preserved height and restored rim diameter,,,,,0.076,0.076,,0.071,,,,,,,,,,,,,0.003,0.007,,,0.071,0.071,0.076,Mixed preserved and restored dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.171, record 153",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,The report's English caption reads 'Shard of Four Handles Jar with brown glaze'; wording is normalized here to 'Four-Handled'.,Exact basename match in current repository inventory,m
ceramics_021,Ceramics,mado18-2_2.png,3d modeling/ceramics/preview_images/mado18-2_2.png,mado18-2_2.fbx,3d modeling/ceramics/original_models/mado18-2_2.fbx,mado18-2,2,view/model 2,도기사이호편,Shard of Four-Handled Jar with Brown Glaze,Chinese brown-glazed earthenware jar fragment,12세기 전반–15세기 추정 / Estimated 12th–15th century,태안 마도해역 / Waters off Taean–Mado,Preserved height and restored rim diameter,,,,,0.076,0.076,,0.071,,,,,,,,,,,,,0.003,0.007,,,0.071,0.071,0.076,Mixed preserved and restored dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.171, record 153",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,The report's English caption reads 'Shard of Four Handles Jar with brown glaze'; wording is normalized here to 'Four-Handled'.,Exact basename match in current repository inventory,m
ceramics_022,Ceramics,mado18-2_3.png,3d modeling/ceramics/preview_images/mado18-2_3.png,mado18-2_3.fbx,3d modeling/ceramics/original_models/mado18-2_3.fbx,mado18-2,3,view/model 3,도기사이호편,Shard of Four-Handled Jar with Brown Glaze,Chinese brown-glazed earthenware jar fragment,12세기 전반–15세기 추정 / Estimated 12th–15th century,태안 마도해역 / Waters off Taean–Mado,Preserved height and restored rim diameter,,,,,0.076,0.076,,0.071,,,,,,,,,,,,,0.003,0.007,,,0.071,0.071,0.076,Mixed preserved and restored dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.171, record 153",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,The report's English caption reads 'Shard of Four Handles Jar with brown glaze'; wording is normalized here to 'Four-Handled'.,Exact basename match in current repository inventory,m
ceramics_023,Ceramics,mado18-39_1.png,3d modeling/ceramics/preview_images/mado18-39_1.png,mado18-39_1.fbx,3d modeling/ceramics/original_models/mado18-39_1.fbx,mado18-39,1,view/model 1,청자잔,Celadon Cup,Celadon cup,고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.048,0.049,,0.086,0.041,,,,0.002,0.0045,,,,,,,0.0035,0.006,,,0.086,0.086,0.049,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.126, record 087",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_024,Ceramics,mado18-39_2.png,3d modeling/ceramics/preview_images/mado18-39_2.png,mado18-39_2.fbx,3d modeling/ceramics/original_models/mado18-39_2.fbx,mado18-39,2,view/model 2,청자잔,Celadon Cup,Celadon cup,고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.048,0.049,,0.086,0.041,,,,0.002,0.0045,,,,,,,0.0035,0.006,,,0.086,0.086,0.049,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.126, record 087",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_025,Ceramics,mado18-39_3.png,3d modeling/ceramics/preview_images/mado18-39_3.png,mado18-39_3.fbx,3d modeling/ceramics/original_models/mado18-39_3.fbx,mado18-39,3,view/model 3,청자잔,Celadon Cup,Celadon cup,고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.048,0.049,,0.086,0.041,,,,0.002,0.0045,,,,,,,0.0035,0.006,,,0.086,0.086,0.049,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.126, record 087",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_026,Ceramics,mado18-40_1.png,3d modeling/ceramics/preview_images/mado18-40_1.png,mado18-40_1.fbx,3d modeling/ceramics/original_models/mado18-40_1.fbx,mado18-40,1,view/model 1,청자상감국화여지문발,Celadon Bowl with Inlaid Chrysanthemum and Litchi Design,Inlaid celadon bowl,고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.066,0.068,,0.202,0.062,,,,0.007,0.005,,,,,,,0.0035,0.012,,,0.202,0.202,0.068,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.87, record 027",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_027,Ceramics,mado18-40_2.png,3d modeling/ceramics/preview_images/mado18-40_2.png,mado18-40_2.fbx,3d modeling/ceramics/original_models/mado18-40_2.fbx,mado18-40,2,view/model 2,청자상감국화여지문발,Celadon Bowl with Inlaid Chrysanthemum and Litchi Design,Inlaid celadon bowl,고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.066,0.068,,0.202,0.062,,,,0.007,0.005,,,,,,,0.0035,0.012,,,0.202,0.202,0.068,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.87, record 027",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_028,Ceramics,mado18-40_3.png,3d modeling/ceramics/preview_images/mado18-40_3.png,mado18-40_3.fbx,3d modeling/ceramics/original_models/mado18-40_3.fbx,mado18-40,3,view/model 3,청자상감국화여지문발,Celadon Bowl with Inlaid Chrysanthemum and Litchi Design,Inlaid celadon bowl,고려시대 / Goryeo period,태안 마도해역 / Waters off Taean–Mado,Measured object; height is a range,,,,,0.066,0.068,,0.202,0.062,,,,0.007,0.005,,,,,,,0.0035,0.012,,,0.202,0.202,0.068,Source-reported dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.87, record 027",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_029,Ceramics,mado18-69_1.png,3d modeling/ceramics/preview_images/mado18-69_1.png,mado18-69_1.fbx,3d modeling/ceramics/original_models/mado18-69_1.fbx,mado18-69,1,view/model 1,암키와편,Shard of Concave Roof Tile,Roof tile fragment,,태안 마도해역 / Waters off Taean–Mado,Remaining fragment measurements,0.285,0.285,0.115,0.115,,,,,,,,,,,,,,,,,0.013,0.015,,,0.285,0.115,0.015,Source-reported remaining dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.178, record 160",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_030,Ceramics,mado18-69_2.png,3d modeling/ceramics/preview_images/mado18-69_2.png,mado18-69_2.fbx,3d modeling/ceramics/original_models/mado18-69_2.fbx,mado18-69,2,view/model 2,암키와편,Shard of Concave Roof Tile,Roof tile fragment,,태안 마도해역 / Waters off Taean–Mado,Remaining fragment measurements,0.285,0.285,0.115,0.115,,,,,,,,,,,,,,,,,0.013,0.015,,,0.285,0.115,0.015,Source-reported remaining dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.178, record 160",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
ceramics_031,Ceramics,mado18-69_3.png,3d modeling/ceramics/preview_images/mado18-69_3.png,mado18-69_3.fbx,3d modeling/ceramics/original_models/mado18-69_3.fbx,mado18-69,3,view/model 3,암키와편,Shard of Concave Roof Tile,Roof tile fragment,,태안 마도해역 / Waters off Taean–Mado,Remaining fragment measurements,0.285,0.285,0.115,0.115,,,,,,,,,,,,,,,,,0.013,0.015,,,0.285,0.115,0.015,Source-reported remaining dimensions,High,,2021년 태안 마도해역 시굴조사 보고서 / Waters off the Taean–Mado Underwater Excavation (2021),https://www.seamuse.go.kr/resources/academiccultural/info/2894,"p.178, record 160",GitHub project inventory and model metadata,https://github.com/KateHwang0929/shipwreck-sonar-ai/tree/main/3d%20modeling,,Exact basename match in current repository inventory,m
